ID,age_range,datetime,gender,involved_person,legislation,location__latitude,location__longitude,location__street__id,location__street__name,object_of_search,officer_defined_ethnicity,operation,operation_name,outcome,outcome_linked_to_object_of_search,outcome_object__id,outcome_object__name,removal_of_more_than_outer_clothing,self_defined_ethnicity,type
37,Oct-17,2019-12-07T16:40:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.535202,0.011912,963749,On or near Cridland Street,Controlled drugs,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - African,Person search
38,18-24,2019-12-07T05:25:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.51666,0.016053,962188,On or near Bothwell Close,Offensive weapons,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Bangladeshi,Person search
39,18-24,2019-12-07T05:27:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.51666,0.016053,962188,On or near Bothwell Close,Offensive weapons,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Bangladeshi,Person search
40,18-24,2019-12-07T05:25:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.51666,0.016053,962188,On or near Bothwell Close,Offensive weapons,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Bangladeshi,Person search
41,25-34,2019-12-08T03:15:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.522698,0.0221,962126,On or near Supermarket,Controlled drugs,Asian,FALSE,null,Arrest,null,bu-arrest,Arrest,null,Other ethnic group - Any other ethnic group,Person and Vehicle search
42,18-24,2019-12-03T03:50:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.529259,0.025433,963591,On or near The Broadway,Controlled drugs,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Person search
43,Oct-17,2019-12-06T15:38:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.525677,0.03081,962252,On or near Beaumont Road,Controlled drugs,Asian,FALSE,null,Community resolution,null,bu-community-resolution,Community resolution,null,Asian/Asian British - Bangladeshi,Person search
44,null,2019-12-03T11:10:00+00:00,Female,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.530172,0.037642,963572,On or near Central Park Road,Stolen goods,Asian,FALSE,null,Community resolution,null,bu-community-resolution,Community resolution,null,Other ethnic group - Not stated,Person search
45,18-24,2019-12-07T15:21:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.531395,0.019443,963787,On or near Ashburton Terrace,Evidence of offences under the Act,White,FALSE,null,Arrest,null,bu-arrest,Arrest,null,White - Any other White background,Person search
46,over 34,2019-12-08T16:55:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.522698,0.0221,962126,On or near Supermarket,Stolen goods,White,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Other ethnic group - Not stated,Person search
47,null,2019-12-08T15:55:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.536375,0.010132,963739,On or near Gift Lane,Offensive weapons,White,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Other ethnic group - Not stated,Person search
48,18-24,2019-12-08T21:35:00+00:00,Female,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.51718,0.008797,962166,On or near Malmesbury Road,Offensive weapons,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Mixed/Multiple ethnic groups - White and Black Caribbean,Person search
49,25-34,2019-12-08T20:20:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.525084,0.02088,962112,On or near Gordon Street,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Any other Asian background,Person and Vehicle search
50,25-34,2019-12-08T20:35:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.527382,0.021126,962109,On or near Howard'S Road,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Any other Asian background,Person and Vehicle search
51,Oct-17,2019-12-09T02:37:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.510583,0.025873,955215,On or near Freemasons Road,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Other ethnic group - Not stated,Person search
52,Oct-17,2019-12-09T01:15:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.510583,0.025873,955215,On or near Freemasons Road,Controlled drugs,White,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,White - English/Welsh/Scottish/Northern Irish/British,Person search
53,Oct-17,2019-12-09T01:10:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.510583,0.025873,955215,On or near Freemasons Road,Controlled drugs,White,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,White - English/Welsh/Scottish/Northern Irish/British,Person search
54,over 34,2019-12-09T18:00:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.535202,0.011912,963749,On or near Cridland Street,Controlled drugs,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - Caribbean,Person and Vehicle search
